PM,D,M,T,G,S
0.001,0.25,30,0.01860833168029785,15,0.410
0.001,0.25,60,0.054387807846069336,20,2.893e-06
0.001,0.25,90,0.08774900436401367,20,6.613e-08
0.01,0.25,30,0.024780750274658203,20,0.001
0.01,0.25,60,0.05296039581298828,20,4.746e-08
0.01,0.25,90,0.0850212574005127,20,2.207e-06
0.1,0.25,30,0.03208756446838379,20,1.150e-06
0.1,0.25,60,0.04402327537536621,16,0.0003
0.1,0.25,90,0.07990169525146484,20,3.101e-05
0.5,0.25,30,0.02982783317565918,20,0.002
0.5,0.25,60,0.056075096130371094,20,0.004
0.5,0.25,90,0.0870811939239502,20,0.0079
0.8,0.25,30,0.028263330459594727,20,0.059
0.8,0.25,60,0.05800223350524902,20,0.046
0.8,0.25,90,0.08906960487365723,20,0.0233
0.001,0.5,30,0.047089576721191406,20,5.778e-10
0.001,0.5,60,0.09493088722229004,20,3.785e-09
0.001,0.5,90,0.14241600036621094,20,2.501e-09
0.01,0.5,30,0.04603075981140137,20,8.319e-06
0.01,0.5,60,0.0887458324432373,20,3.493e-09
0.01,0.5,90,0.14191746711730957,20,3.688e-10
0.1,0.5,30,0.04619121551513672,20,0.204
0.1,0.5,60,0.09539604187011719,20,5.099e-10
0.1,0.5,90,0.14548087120056152,20,4.684e-09
0.5,0.5,30,0.047940969467163086,20,0.011
0.5,0.5,60,0.0940091609954834,20,0.001
0.5,0.5,90,0.14501500129699707,20,0.0001
0.8,0.5,30,0.04870247840881348,20,0.0282
0.8,0.5,60,0.09920859336853027,20,0.0217
0.8,0.5,90,0.14638757705688477,20,0.0007
0.001,0.7,30,0.0659189224243164,20,4.664e-13
0.001,0.7,60,0.12029719352722168,20,1.177e-10
0.001,0.7,90,0.17916464805603027,20,1.441e-11
0.01,0.7,30,0.05920243263244629,20,8.798e-11
0.01,0.7,60,0.12267041206359863,20,1.448e-11
0.01,0.7,90,0.1901712417602539,20,1.866e-10
0.1,0.7,30,0.05939912796020508,20,0.0006
0.1,0.7,60,0.1279761791229248,20,1.147e-10
0.1,0.7,90,0.1844191551208496,20,4.644e-10
0.5,0.7,30,0.09604310989379883,20,0.006
0.5,0.7,60,0.2327563762664795,20,1.252e-05
0.5,0.7,90,0.20484685897827148,20,5.564e-06
0.8,0.7,30,0.07498502731323242,20,0.001
0.8,0.7,60,0.15404248237609863,20,0.002
0.8,0.7,90,0.20164203643798828,20,0.002
0.001,0.9,30,0.08454394340515137,20,4.892e-05
0.001,0.9,60,0.16203689575195312,20,6.226e-13
0.001,0.9,90,0.21932315826416016,20,7.320e-12
0.01,0.9,30,0.07811594009399414,20,4.645e-14
0.01,0.9,60,0.160872220993042,20,1.297e-12
0.01,0.9,90,0.22814726829528809,20,1.361e-12
0.1,0.9,30,0.07354307174682617,20,6.162e-13
0.1,0.9,60,0.16561222076416016,20,4.599e-12
0.1,0.9,90,0.2645714282989502,20,1.746e-11
0.5,0.9,30,0.0799705982208252,20,0.0003
0.5,0.9,60,0.16121196746826172,20,3.799e-09
0.5,0.9,90,0.2408311367034912,20,1.708e-08
0.8,0.9,30,0.08932018280029297,20,0.003
0.8,0.9,60,0.18946623802185059,20,0.002
0.8,0.9,90,0.2379775047302246,20,0.002
